source,pitch_std,mean_wpm
[앵커의 마침표]민생 외면한 무자격 정치 ｜ 뉴스A [OcCkmqc_mZ0].wav,69.641,158.01674513954185
[앵커의 마침표]민생 없는 반쪽 정치 ｜ 뉴스A [7_6E7Ym0bC4].wav,60.202,132.38565993192742
[앵커의 마침표]민생 약속 ‘꼭’ ｜ 뉴스A [uT4v8DlE_wU].wav,62.787,140.91969915264377
[앵커의 마침표]미증유의 정치 ⧸ 채널A ⧸ 뉴스A [9WtUPnqDvYo].wav,73.345,111.03143789877235
"[앵커의 마침표]미우나 고우나, 국정파트너 ｜ 뉴스A [R8X7T-xOYNM].wav",62.601,144.46213136588983
[앵커의 마침표]미안하다면 하지 말아야 ｜ 뉴스A [eYc4zdDaXfw].wav,69.125,144.63637974369314
[앵커의 마침표]미래를 위한 도전 ｜ 뉴스A [oWxMj3PaJkw].wav,60.738,108.97401486228532
[앵커의 마침표]미래를 보여준 MZ의 힘 ｜ 뉴스A [K1Ec3jXUNRU].wav,57.482,117.859391924596
[앵커의 마침표]부끄러운 기록 ｜ 뉴스A [OQ24bawhRfg].wav,63.491,139.00816826051238
[앵커의 마침표]본 게임은 이제 시작 ｜ 뉴스A [kGNbjEw3tWQ].wav,57.104,134.32931495928028
"[앵커의 마침표]보호주의 풍랑, 전략이 시급하다 ｜ 뉴스A [-NFPCtYHHrw].wav",60.762,113.20038770676084
[앵커의 마침표]법치주의 뒤흔드는 범죄행위 ｜ 뉴스A [jTE4sHshhXQ].wav,54.253,117.02590613560362
[앵커의 마침표]법대로 사법부 ｜ 뉴스A [WXZJ5aFrQXo].wav,61.922,142.82127687800283
[앵커의 마침표]번복과 불신 ⧸ 채널A ⧸ 뉴스A [OO_H_DeTKHQ].wav,65.911,118.4249183872436
[앵커의 마침표]방심은 금물 ｜ 뉴스A [bIbgjiuYkQM].wav,66.112,98.34019818802427
"[앵커의 마침표]반도체, 총력을 기울일 때 ｜ 뉴스A [z-1ySUM9aZc].wav",60.727,139.0352370983345
[앵커의 마침표]믿음 줄 때까지 ｜ 뉴스A [vmeviIar6hc].wav,62.582,127.79297186195464
[앵커의 마침표]민주주의마저 죽이는 살생부 ｜ 뉴스A [YwIqV_KSPxE].wav,57.894,93.8366698751512
[앵커의 마침표]민주주의 망치는 달콤한 유혹 ｜ 뉴스A [zqsIrs0_ZcU].wav,61.607,138.46710022309878
[앵커의 마침표]민심을 귀담다 ⧸ 채널A ⧸ 뉴스A [4bXt4hxBNdo].wav,56.422,106.3842673334112
"[앵커의 마침표]불통 정부, 민심은 매서웠다 ｜ 특집 뉴스A [a32wRNkhXbA].wav",55.142,107.24784001157836
[앵커의 마침표]불안한 둔감 외교 ⧸ 채널A ⧸ 뉴스A [PMcMppSu1HQ].wav,55.522,127.40245933387524
[앵커의 마침표]불신지옥이 된 학교 ｜ 뉴스A [AaI_rCwau-c].wav,63.423,121.11988406243272
